_id,title,address,area,avg_price,build_in,house_info,house_type,price,specials,towards
684a7dedc11929bdd1fcfcc8,地铁口精装好房 拎包入住省去装修烦恼 看房密码锁 有车位,宝山大华华灵路1180弄1-65号,93.76㎡,44262元/㎡,2000年建造,2室2厅1卫,低层(共6层),415万,南热门小区近地铁南北通透,南
684a7deec11929bdd1fcfcc9,罗店 双卫生间 满五 南向采光好 高楼层视野无遮挡,宝山罗店罗芬路98弄,92.04㎡,51717元/㎡,2009年建造,3室2厅2卫,高层(共6层),476万,南热门小区配套成熟优势户型,南
684a7deec11929bdd1fcfcca,绿地北区新上中套三房~ 店长力荐！满五年诚意出售~,宝山杨行杨泰路99弄,96.22㎡,37415元/㎡,2015年建造,3室2厅1卫,高层(共17层),360万,南北热门小区价格优惠房东急售,南北
684a7deec11929bdd1fcfccb,阳台上透着光，彩虹的玻璃窗，这套房的样子长在您的审美上,宝山共康三泉路1859弄1-132号,84.54㎡,48380元/㎡,2008年建造,2室2厅1卫,中层(共14层),409万,南满五年近地铁绿化率高,南
684a7deec11929bdd1fcfccc,天安象屿萃湖臻境 精装可拎包入住 产权清晰 次新房 电梯房,宝山罗南美健路333弄,95.93㎡,40655元/㎡,2025年建造,3室2厅2卫,高层(共18层),390万,南北唯一住房近地铁次新房,南北
684a7deec11929bdd1fcfccd,SSS小区前排位置视野好，房东已买新房 ，看房随时,宝山杨行莲花山路517弄,89㎡,37641元/㎡,2010年建造,3室2厅1卫,中层(共12层),335万,南北满五年户型方正,南北
684a7deec11929bdd1fcfcce,单价只要4万！中环内！地铁口！金三银四 南北通大两房 诚意卖,宝山大华新沪路1059弄,94.69㎡,45623元/㎡,2001年建造,2室2厅1卫,中层(共6层),432万,南北满五年近地铁多人关注,南北
684a7deec11929bdd1fcfccf,一楼带超大花园，价格可谈天馨花园(公寓住宅) 近地铁,宝山杨行蕴川路1498弄,96.61㎡,37264元/㎡,2009年建造,3室2厅1卫,低层(共6层),360万,南热门小区近地铁新上小区,南
684a7deec11929bdd1fcfcd0,电梯精装修复式 ，送大露台！房东装修不到3年！诚意出售,宝山杨行蕴川路1498弄,81.12㎡,27121元/㎡,2008年建造,3室2厅2卫,高层(共6层),220万,南满五年近地铁多人关注,南
684a7deec11929bdd1fcfcd1,近一号地铁口500 一楼三房带花园精装修花园面积30平,宝山杨行蕴川路1498弄,96.61㎡,33123元/㎡,2004年建造,3室2厅1卫,低层(共6层),320万,南近地铁户型方正,南
684a7deec11929bdd1fcfcd2,精装电梯复式 买一层song一层 送产权车位 拎包入住,宝山大华新沪路1059弄,82.57㎡,43358元/㎡,2005年建造,3室2厅2卫,高层(共11层),358万,南北价格优惠房东急售交易周期可谈,南北
684a7deec11929bdd1fcfcd3,送大花园！产权有车位！精装奶油风 ！必麦好房！直接拎包入住！,宝山杨行蕴川路1498弄,81.33㎡,27543元/㎡,2009年建造,2室2厅1卫,低层(共6层),224万,南北热门小区近地铁配套成熟,南北
684a7deec11929bdd1fcfcd4,精装修 94平 电梯房 绿地海域笙晖(公寓住宅) 满五 3室,宝山杨行杨泰路99弄,94.45㎡,47115元/㎡,2015年建造,3室2厅1卫,低层(共16层),445万,经纪人力荐南满五年户型方正,南
684a7deec11929bdd1fcfcd5,好房推荐！杨泰二村精装修两房.南北通透.小区中心位置,宝山杨行杨鑫路200弄1-275号,75.19㎡,28595元/㎡,1995年建造,2室2厅1卫,高层(共6层),215万,热门小区南北通透满五,南北
684a7deec11929bdd1fcfcd6,急！急！南区人车分流，电梯中高楼层，边套全明，诚意出售可谈,宝山杨行松兰路198弄,101.79㎡,39297元/㎡,2015年建造,3室2厅2卫,中层(共18层),400万,南北唯一住房户型方正,南北
684a7deec11929bdd1fcfcd7,大华梦公园，电梯大复式，附送产权车位，全屋豪装,宝山大华华灵路1681弄,87.64㎡,40964元/㎡,2003年建造,3室2厅2卫,高层(共11层),359万,南北满五年近地铁多人关注,南北
684a7df0c11929bdd1fcfcd8,只算一层面积 新装修 满五 产权清晰 看房随时约,宝山大华真华路999弄,90.31㎡,57580元/㎡,2008年建造,3室2厅2卫,高层(共11层),520万,经纪人力荐南北满五年近地铁,南北
684a7df1c11929bdd1fcfcd9,商品住宅 南北通透 电梯中间楼层采光好 交通便利 满五,宝山共康长临路1318弄,98.76㎡,43034元/㎡,2007年建造,2室2厅1卫,中层(共12层),425万,南北满五年近地铁绿化率高,南北
684a7df1c11929bdd1fcfcda,挑空八 大复式~全屋定制装修~百平大露台~附带地下产权车位~,宝山大华真华路1030弄,87.37㎡,61807元/㎡,2008年建造,3室2厅2卫,高层(共11层),540万,南北近地铁,南北
684a7df1c11929bdd1fcfcdb,高性价比 太阳从早晒到晚 2楼 南北通透户型 不靠马路\n热推好房,宝山大华华灵路1280弄,94.05㎡,51037元/㎡,1999年建造,2室2厅1卫,低层(共6层),480万,南北价格优惠,南北
684a7df1c11929bdd1fcfcdc,大华 中环一号（二期） 3室 2厅,"宝山大场真大路333弄,华和路255弄",132.21㎡,51434元/㎡,2012年建造,3室2厅2卫,低层(共18层),680万,南热门小区南北通透房东急售,南
684a7df1c11929bdd1fcfcdd,急急急 送产权车位豪华装修 楼下飞机户型 楼上送大露台,宝山大华华灵路1788弄,96.69㎡,49644元/㎡,2005年建造,3室2厅2卫,中层(共6层),480万,南满五年近地铁,南
684a7df1c11929bdd1fcfcde,电梯楼房 南北通透 有地下产权车位 精装修全送 看房随时,宝山大华大华路988弄,83.22㎡,52272元/㎡,2005年建造,2室2厅1卫,低层(共6层),435万,南满五年近地铁采光较好,南
684a7df1c11929bdd1fcfcdf,顾村新上次新小区飞机三房，景观楼层，业主急出，在家 都,宝山顾村潘泾路366弄,98.68㎡,38509元/㎡,2022年建造,3室2厅2卫,高层(共13层),380万,南热门小区新上小区优势户型,南
684a7df1c11929bdd1fcfce0,40平天井！全附赠！婚房装修三年不到的时间！关门卖！！,宝山杨行杨鑫路200弄1-275号,86㎡,27675元/㎡,1997年建造,3室2厅2卫,低层(共6层),238万,南北满五年近地铁多人关注,南北
684a7df1c11929bdd1fcfce1,云绝顶 视野，电梯 精装两居室 楼龄新 周边配套齐地铁近,宝山杨行顾北东路39弄,92.08㎡,24436元/㎡,2015年建造,2室2厅1卫,高层(共18层),225万,热门小区南北通透,南北
684a7df1c11929bdd1fcfce2,宝山文华苑(四期) 出行方便 商品房 有电梯 近地铁,宝山大华华灵路1180弄1-65号,81㎡,42593元/㎡,2000年建造,5室2厅2卫,高层(共6层),345万,南唯一住房近地铁多人关注,南
684a7df1c11929bdd1fcfce3,现场实勘！小区绿化好，生活氛围浓厚，全天配合看房！,宝山共康场北路39弄,97.6㎡,51947元/㎡,2007年建造,2室2厅1卫,中层(共16层),507万,西热门小区南北通透,西
684a7df1c11929bdd1fcfce4,精装修，挑空复式，送超大露台，带产权车位，看房随时,宝山大华华灵路1781弄,86.89㎡,38900元/㎡,2002年建造,4室2厅2卫,高层(共11层),338万,南北满五年近地铁绿化率高,南北
684a7df1c11929bdd1fcfce5,新上！中环内电梯南北通 大三房双卫 诚心卖可大谈 楼层采光好,宝山大华华灵路1788弄,133.65㎡,57464元/㎡,2005年建造,3室2厅2卫,高层(共11层),768万,南有电梯近地铁采光较好,南
