_id,title,address,area,avg_price,build_in,house_info,house_type,price,specials,towards
684a8f64c11929bdd1fd0860,好世凤景观房，满五税少，高区视野开阔，可拎包入住！价格可谈,嘉定南翔金通路1737弄,88.02㎡,44081元/㎡,2018年建造,2室2厅1卫,低层(共22层),388万,南南北通透房东急售交易周期可谈,南
684a8f64c11929bdd1fd0861,精装 拎包入住 商业配套齐全 朝南 房龄新 满五,嘉定嘉定新城合作路199弄,89.7㎡,50168元/㎡,2018年建造,3室2厅1卫,低层(共18层),450万,南满五年近地铁车位充足,南
684a8f64c11929bdd1fd0862,挂牌即封神的房子！房东 精装总高5楼洋房 前排采光无遮挡,嘉定嘉定新城临泽路188弄,90.51㎡,38118元/㎡,2014年建造,3室2厅1卫,低层(共11层),345万,经纪人力荐南北满五年近地铁,南北
684a8f64c11929bdd1fd0863,地铁口三房 豪装边套 中间楼层采光好 看房方便 诚意出售,嘉定南翔德园路1259弄,87.77㎡,45346元/㎡,2012年建造,3室2厅1卫,中层(共18层),398万,南满五年近地铁采光较好,南
684a8f64c11929bdd1fd0864,好谈！可大谈！ ！白银路地铁口，南北通两房，诚心出售,嘉定嘉定新城高台路1333弄,85.68㎡,38282元/㎡,2013年建造,2室2厅1卫,高层(共18层),328万,南满五年近地铁采光较好,南
684a8f64c11929bdd1fd0865,质量 ，中区楼层，采光充足，大三房，普小交大牛娃,嘉定嘉定新城云屏路1033弄,113.98㎡,39920元/㎡,2017年建造,3室2厅1卫,中层(共20层),455万,经纪人力荐南满五年近地铁,南
684a8f64c11929bdd1fd0866,(小区两房T0P1总价低）出价就可以来谈，房东 ！,嘉定江桥新城吴杨东路333弄,86.26㎡,32229元/㎡,2007年建造,2室2厅1卫,中层(共6层),278万,南北满五年近地铁户型方正,南北
684a8f64c11929bdd1fd0867,万科品质，近11号线地铁口， ，户型好，满五,嘉定嘉定城区秋竹路802弄,89.59㎡,27682元/㎡,2014年建造,3室2厅1卫,低层(共28层),248万,南热门小区配套成熟房东急售,南
684a8f64c11929bdd1fd0868,"近商圈,视野好,交通便利,配套完善",嘉定马陆沈徐路128弄,94.37㎡,25326元/㎡,2015年建造,3室1厅1卫,低层(共24层),239万,南近地铁,南
684a8f65c11929bdd1fd0869,嘉定北 双轨交 大三房 好楼层 业主诚心出售,嘉定嘉定城区嘉唐公路99弄,103.66㎡,34729元/㎡,2015年建造,3室2厅2卫,中层(共18层),360万,南北满五年近地铁采光较好,南北
684a8f65c11929bdd1fd086a,高区可以看湖景的大三房，独门独户的，开发商装修，带全屋地暖空,嘉定南翔浩翔路99弄,94.29㎡,50377元/㎡,2014年建造,2室2厅1卫,高层(共18层),475万,南北热门小区配套成熟满五,南北
684a8f65c11929bdd1fd086b,金地新房近地铁高品质住宅精装带地暖税各付诚心出售！,嘉定马陆崇福路188弄,104.5㎡,40192元/㎡,2024年建造,3室2厅2卫,低层(共18层),420万,南北有电梯近地铁次新房,南北
684a8f65c11929bdd1fd086c,菊园新区胜悦嘉苑（东苑）2室2厅,嘉定菊园新区秋竹路118弄,92.4㎡,22620元/㎡,2016年建造,2室2厅1卫,中层(共18层),209万,南热门小区近地铁南北通透,南
684a8f66c11929bdd1fd086d,绿地清猗园(二期) 购物方便 产权清晰 出行方便 精装好房,嘉定南翔德华路80弄,103.46㎡,49295元/㎡,2015年建造,3室2厅1卫,低层(共20层),510万,南热门小区近地铁优势户型,南
684a8f67c11929bdd1fd086e,电梯高层~看单价，看单价。随时看房 诚心出售，可以谈,嘉定丰庄丰庄北路5弄,122.32㎡,42348元/㎡,2007年建造,3室2厅1卫,中层(共14层),518万,南热门小区南北通透价格优惠,南
684a8f67c11929bdd1fd086f,嘉定新城标杆小区，背靠加大附属总部，恒温恒湿恒氧，小区,嘉定嘉定新城封周路885弄,99.98㎡,59012元/㎡,2019年建造,3室2厅1卫,中层(共21层),590万,南北满五年近地铁车位充足,南北
684a8f67c11929bdd1fd0870,小区C位，高区景观房，看房随时，拎包入住,"嘉定南翔瑞林路800弄,瑞林路1280弄",103.94㎡,48586元/㎡,2015年建造,3室2厅2卫,高层(共18层),505万,南北满五年近地铁采光较好,南北
684a8f67c11929bdd1fd0871,11号线地铁口 次新小区 电梯洋房 精装修 三室两厅两卫,"嘉定菊园新区柳梁南路65弄1-24号,柳梁南路68弄1-21号",97.31㎡,42648元/㎡,2021年建造,3室2厅2卫,中层(共11层),415万,南房东认证满五年近地铁,南
684a8f67c11929bdd1fd0872,万科金色领域(东区) 装修好 交通便捷 满五 朝南 临地铁,嘉定嘉定城区秋竹路802弄,89.59㎡,27124元/㎡,2013年建造,3室2厅1卫,低层(共28层),243万,南满五年近地铁车位充足,南
684a8f67c11929bdd1fd0873,保利大横厅精装修带车位，视野开阔环境好，门口商圈近地铁\n热推好房,嘉定江桥新城海波路1555弄,98.99㎡,55562元/㎡,2022年建造,3室2厅2卫,中层(共17层),550万,南热门小区近地铁随时可看,南
684a8f67c11929bdd1fd0874,交大 中小旁，沿河景观， 50个出售，大三房，精装修,"嘉定马陆德立路88弄,德立路99弄",127.1㎡,40520元/㎡,2011年建造,3室2厅2卫,低层(共18层),515万,经纪人力荐南满五年绿化率高,南
684a8f67c11929bdd1fd0875,商业配套成熟 房龄新 精装好房 正规商品房 交通便利 有电梯,嘉定南翔金通路1737弄,88.2㎡,48186元/㎡,2016年建造,2室2厅1卫,低层(共22层),425万,南北满五年近地铁户型方正,南北
684a8f67c11929bdd1fd0876,嘉城新航域 2室2厅 简单装修 83平 居家自住 保养好,嘉定江桥新城海川路58弄,83.12㎡,33085元/㎡,1994年建造,2室2厅1卫,高层(共6层),275万,经纪人力荐南满五年近地铁,南
684a8f67c11929bdd1fd0877,11号线和嘉闵线双轨交！南北通透 居家自住保养好 看房随时,嘉定南翔德华路80弄,103.46㎡,50261元/㎡,2015年建造,3室2厅1卫,低层(共20层),520万,南满五年近地铁车位充足,南
