_id,title,address,area,avg_price,build_in,house_info,house_type,price,specials,towards
684ab904c11929bdd1fd2bc5,王炸三房两卫，还送地下产权车位，精装全送，接受置换！,静安大宁万荣路388弄,93㎡,57312元/㎡,2006年建造,3室2厅2卫,低层(共11层),533万,南满五年近地铁绿化率高,南
684ab904c11929bdd1fd2bc6,小户型低总价！有固定车位！刷卡近公园！近地铁医学商超配套全,静安大宁大宁路667弄,51.87㎡,74225元/㎡,2006年建造,2室1厅1卫,中层(共11层),385万,南北满五年近地铁户型方正,南北
684ab904c11929bdd1fd2bc7,带大院子 推窗见绿 南北通三房 全屋精装 小区中心 环境优美,静安曹家渡长寿路999弄1-66号,107.98㎡,66494元/㎡,2004年建造,3室2厅2卫,低层(共18层),718万,南北满五年近地铁绿化率高,南北
684ab905c11929bdd1fd2bc8,假一赔万！大宁公园畔大两房!有车位！精装交付！付款好可谈！,静安大宁沪太路909弄,94.39㎡,47145元/㎡,2000年建造,2室2厅2卫,低层(共6层),445万,南北满五年近地铁采光较好,南北
684ab905c11929bdd1fd2bc9,房东非常急！精装修全屋定制中空地暖新风-有车位有钥匙,静安大宁广中西路99弄1-92号,116.65㎡,66696元/㎡,2005年建造,3室2厅1卫,中层(共17层),778万,南北满五年近地铁车位充足,南北
684ab905c11929bdd1fd2bca,新上笋盘！丨已买诚售丨中心位置丨看房方便丨可议价空间大,静安大宁万荣路388弄,110.86㎡,61520元/㎡,2007年建造,2室2厅1卫,中层(共11层),682万,南满五年近地铁绿化率高,南
684ab905c11929bdd1fd2bcb,新上笋盘 已买诚售！中心位置 带车位 看房随时,静安大宁大宁路883弄,136㎡,69045元/㎡,2006年建造,3室2厅2卫,高层(共11层),939万,南北满五年近地铁绿化率高,南北
684ab905c11929bdd1fd2bcc,地铁口电梯两房 豪华装修 全屋智能家电 无抵押无贷款,静安新客站延长中路576号,86.33㎡,66026元/㎡,2000年建造,2室2厅1卫,中层(共18层),570万,南北热门小区近地铁配套成熟,南北
684ab905c11929bdd1fd2bcd,地铁口新上，10年出一套，送子母车位，上帝视野，先到先得,静安曹家渡长寿路999弄1-66号,162㎡,70247元/㎡,2015年建造,3室2厅2卫,高层(共28层),1138万,南北满五年近地铁绿化率高,南北
684ab905c11929bdd1fd2bce,标准大两房两卫全明，南北通高区视野开阔，业主诚售,静安江宁路西苏州路85弄,117㎡,89744元/㎡,2001年建造,2室2厅2卫,高层(共16层),1050万,南北热门小区新上小区满五,南北
