_id,title,address,area,avg_price,build_in,house_info,house_type,price,specials,towards
684a57bfc11929bdd1fce3b2,新上精装修两居室，附送30平花园，房东诚意出售,闵行古美罗阳顾戴路1199弄,87.21㎡,57104元/㎡,2004年建造,2室2厅1卫,低层(共6层),498万,南热门小区近地铁南北通透,南
684a57bfc11929bdd1fce3b3,新是40平大花园！南北正直通，好位置，诚意出售，看中价格可谈,闵行春申畹町路99弄,91.37㎡,51330元/㎡,2004年建造,2室2厅1卫,低层(共6层),469万,南南北通透公摊小价格优惠,南
684a57bfc11929bdd1fce3b4,新上低楼层好房，业主诚心，看房方便 自住 刚需自住,闵行古美罗阳顾戴路1325弄1-123号,86.24㎡,65863元/㎡,2005年建造,2室2厅1卫,中层(共6层),568万,南北满五年近地铁,南北
684a57bfc11929bdd1fce3b5,精装好房 临地铁 正南朝向 出行方便 高楼层视野好,闵行漕宝路漕宝路1467弄6区1-17号,85.8㎡,60024元/㎡,2002年建造,2室2厅1卫,高层(共6层),515万,南近地铁南北通透价格优惠,南
684a57c0c11929bdd1fce3b6,南向采光好 商圈成熟 临地铁 高楼层采光充足 双卫格局,闵行春申畹町路99弄,93㎡,58065元/㎡,2004年建造,4室2厅2卫,高层(共6层),540万,南热门小区配套成熟优势户型,南
684a57c0c11929bdd1fce3b7,万科城市花园 电梯房 商品房 南北通透 居住密度低 近医院,闵行七宝七莘路3333弄,106㎡,44151元/㎡,1994年建造,3室2厅2卫,低层(共11层),468万,南北热门小区新上小区优势户型,南北
684a57c0c11929bdd1fce3b8,万科精装修三房临地铁 停车方便 商品住宅 出行方便 南北通透,闵行华漕申郑路18弄,95㎡,71579元/㎡,2013年建造,3室2厅1卫,中层(共11层),680万,经纪人力荐南北满五年近地铁,南北
684a57c0c11929bdd1fce3b9,惜售双南两房，中间楼层采光好，边套，一梯两户得房率高,闵行龙柏金汇龙柏四村154-232号,68.86㎡,47633元/㎡,1998年建造,2室1厅1卫,低层(共6层),328万,北热门小区南北通透优势户型,北
684a57c0c11929bdd1fce3ba,文莱次新小区电梯两房，接受长期置换，价格可谈，可办车位,闵行七莘路华友路550弄1-53号,92.58㎡,56924元/㎡,2020年建造,2室2厅1卫,高层(共18层),527万,南北热门小区配套成熟价格优惠,南北
684a57c0c11929bdd1fce3bb,业主自住才三年！地暖精装交付！因看好一个新楼盘 ！,闵行古美罗阳顾戴路1199弄,89.83㎡,61227元/㎡,2004年建造,2室2厅1卫,低层(共6层),550万,南南北通透价格优惠房东急售,南
684a57c0c11929bdd1fce3bc,业主着急出售！装修全送！免增免个！付款快价格可大谈！ ！,"闵行莘庄南广场莘朱路820弄,伟业路780弄",86.04㎡,51140元/㎡,2020年建造,2室2厅1卫,中层(共18层),440万,热门小区近地铁南北通透,南北
684a57c0c11929bdd1fce3bd,送固定车位本周必买送30 装修（带全屋智能品牌家电） 价好谈,闵行梅陇务本路88弄,95㎡,32695元/㎡,2023年建造,2室2厅1卫,高层(共18层),310.6万,南满五年近地铁次新房,南
684a57c0c11929bdd1fce3be,商圈成熟 正规商品房 高楼层视野无遮挡 低密宜居 出行方便,闵行古美罗阳顾戴路1325弄1-123号,113.09㎡,67911元/㎡,2005年建造,3室2厅1卫,高层(共6层),768万,南北唯一住房近地铁,南北
684a57c0c11929bdd1fce3bf,豪世盛地 大两房 近地铁 出行方便 商品住宅 南北通透,闵行七宝沪松公路195弄,95.63㎡,41724元/㎡,2002年建造,2室2厅1卫,高层(共6层),399万,南热门小区房东急售随时可看,南
684a57c2c11929bdd1fce3c0,04年小区，小区进门口位置，接受短期置换，看房很方便。,闵行古美罗阳顾戴路1199弄,89.83㎡,65457元/㎡,2004年建造,2室2厅1卫,低层(共6层),588万,南北满五年近地铁采光较好,南北
684a57c2c11929bdd1fce3c1,老业主委托 满五 中间好楼层 医疗配套成熟 近地铁,闵行古美罗阳虹莘路2388弄1-161号,83.93㎡,47064元/㎡,1994年建造,3室1厅1卫,中层(共6层),395万,南满五年近地铁,南
684a57c2c11929bdd1fce3c2,古龙苑 低总价视野无遮挡 商品住宅 精装修 近地铁 带露台,闵行古美罗阳顾戴路388弄,134.25㎡,48790元/㎡,2000年建造,3室3厅2卫,高层(共6层),655万,南北热门小区房东急售随时可看,南北
684a57c2c11929bdd1fce3c3,东边套附送40平花园！小区中心位置，看中价格可谈.,闵行春申畹町路99弄,92.01㎡,51082元/㎡,2005年建造,2室2厅1卫,共5层,470万,南北满五年多人关注,南北
684a57c3c11929bdd1fce3c4,新出 12号线D铁 南北通透户型方正 看房随时,闵行古美罗阳龙茗路1458弄,85.49㎡,61996元/㎡,2005年建造,2室2厅1卫,中层(共6层),530万,南满五年近地铁绿化率高,南
684a57c3c11929bdd1fce3c5,不靠外环，位置安静，全明三房采光无遮挡，产权清晰，近地铁！,闵行古美罗阳虹莘路1551弄,89.08㎡,37719元/㎡,2000年建造,3室2厅1卫,低层(共6层),336万,南北热门小区房东急售随时可看,南北
684a57c3c11929bdd1fce3c6,塘泾北苑 小区新 高楼层采光充足 产权清晰 近地铁 大两房,闵行吴泾曹家塘路390弄,88㎡,39546元/㎡,2015年建造,2室2厅1卫,高层(共13层),348万,南满五年近地铁,南
684a57c3c11929bdd1fce3c7,小区中心位置，安静不吵，看房方便，业主置换大户型，诚意出售,闵行古美罗阳平吉路88弄,127.37㎡,76078元/㎡,2004年建造,3室2厅2卫,中层(共11层),969万,南满五年近地铁绿化率高,南
