_id,title,address,area,avg_price,build_in,house_info,house_type,price,specials,towards
684a4970c11929bdd1fcd63d,高楼层视野好 大两房 低密度社区 出行方便 临地铁 购物方便,浦东三林尚博路650弄,84.23㎡,56038元/㎡,2006年建造,2室2厅1卫,高层(共9层),472万,南热门小区近地铁配套成熟,南
684a4970c11929bdd1fcd63e,地铁口，新上地下室赠大花园，带固定车位，品质小区，万科物业,浦东三林三林路1300弄1-63号,86.23㎡,60072元/㎡,2009年建造,3室2厅1卫,低层(共11层),518万,南热门小区,南
684a4970c11929bdd1fcd63f,新上！精装修两年 南北全明户型！固定车位！电梯高区 采光佳！,浦东三林尚博路650弄,84.1㎡,55886元/㎡,2006年建造,2室2厅1卫,高层(共10层),470万,南满五年近地铁采光较好,南
684a4970c11929bdd1fcd640,3xx！金色中环带 地铁口 电梯房 全屋精装 带车位,浦东三林永泰路630弄,83.39㎡,39334元/㎡,2010年建造,2室2厅1卫,低层(共18层),328万,南北近地铁绿化率高多人关注,南北
684a4970c11929bdd1fcd641,商业配套成熟 出行方便 临地铁 满五 商品住宅,浦东杨思杨思路860弄,74.12㎡,57070元/㎡,2008年建造,2室2厅1卫,高层(共11层),423万,南北满五年近地铁户型方正,南北
684a4970c11929bdd1fcd642,杨思 产权清晰 有电梯 南北通透 临地铁 满五,浦东杨思杨思路1121弄,72.15㎡,51144元/㎡,2008年建造,2室1厅1卫,高层(共18层),369万,热门小区南北通透房东急售,南北
684a4970c11929bdd1fcd643,俯瞰森兰牡丹园 ！景色怡人！ 小区央座！景观楼层！看房随时!,浦东外高桥庭安路825弄,93.34㎡,37498元/㎡,2010年建造,3室2厅1卫,中层(共14层),350万,南北满五年近地铁采光较好,南北
684a4970c11929bdd1fcd644,双南双天井 附赠30平花园 看房有钥匙 满五且唯yi 价可谈,"浦东世博昌里东路80弄,成山路475弄",72㎡,38195元/㎡,1995年建造,3室1厅1卫,低层(共6层),275万,南热门小区近地铁配套成熟,南
684a4971c11929bdd1fcd645,速销精装修拎包入住，中高区诚意出售，近慧华里商超地铁7号线,浦东南码头东方路1881弄,118.55㎡,64868元/㎡,2006年建造,2室2厅2卫,中层(共14层),769万,南北热门小区近地铁新上小区,南北
684a4971c11929bdd1fcd646,临地铁 大两房 小区绿化高 满二 中间楼层采光好 朝南,浦东高行东靖路2250弄,98.02㎡,44379元/㎡,2008年建造,2室2厅1卫,中层(共16层),435万,南满五年近地铁绿化率高,南
684a4971c11929bdd1fcd647,有钥匙！双轨地铁房（带车位）双南房型，中间楼层，动迁免个税,浦东世博滨江东明路383弄(旧:南码头路1186弄130支弄),78.1㎡,40974元/㎡,2003年建造,2室2厅1卫,高层(共24层),320万,南满五年近地铁户型方正,南
684a4983c11929bdd1fcd648,近地铁 正规商品房 精装可拎包入住 近医院 商业配套齐全,浦东杨思杨思路1121弄,72㎡,51250元/㎡,2008年建造,2室1厅1卫,高层(共18层),369万,南北热门小区近地铁新上小区,南北
684a4984c11929bdd1fcd649,陆家嘴黄浦江畔 | 复试L FT纯居住公寓 | 有小区环境,"浦东陆家嘴张杨路158,188,228号",69.69㎡,71747元/㎡,2016年建造,3室2厅2卫,中层(共25层),500万,南北满五年近地铁多人关注,南北
684a4984c11929bdd1fcd64a,南北通两房，婚房装修，没住过人，央区，电梯高层，带产权车位,浦东周浦繁荣路266弄,93.43㎡,52446元/㎡,2016年建造,2室1厅1卫,高层(共18层),490万,南北热门小区近地铁房东急售,南北
684a4984c11929bdd1fcd64b,近地铁临沂七村带天井，南北两式半 房东急用钱 满五看房方便,"浦东南码头兰陵路24弄,浦三路277弄,临沂路101弄",57.03㎡,42960元/㎡,1992年建造,2室2厅1卫,低层(共6层),245万,南北热门小区近地铁新上小区,南北
