_id,title,address,area,avg_price,build_in,house_info,house_type,price,specials,towards
684ac997c11929bdd1fd3780,业主出国！泰鑫 省税必看房！C位高区景观！送车位！,普陀光新光复西路133弄,82.94㎡,68484元/㎡,2010年建造,2室2厅1卫,低层(共36层),568万,南北热门小区价格优惠房东急售,南北
684ac997c11929bdd1fd3781,商业配套齐全 刚需两居 近地铁 交通便捷 产权清晰,普陀武宁东新路88弄,116.09㎡,74770元/㎡,2004年建造,2室2厅1卫,中层(共32层),868万,南热门小区近地铁配套成熟,南
684ac997c11929bdd1fd3782,这个价格就能拿下长寿路2014年次新房就偷着乐吧 送产权车位,普陀长寿路西康路989弄,132.36㎡,89756元/㎡,2014年建造,3室2厅2卫,高层(共34层),1188万,南北热门小区,南北
684ac997c11929bdd1fd3783,一线河景 近地铁 装修好 大两房 满五 商品房 居家自住,普陀武宁东新路88弄,97.56㎡,102399元/㎡,2004年建造,2室2厅1卫,高层(共32层),999万,南北满五年近地铁采光较好,南北
684ac997c11929bdd1fd3784,双露台看房随时精装修户型方正内环内地铁口中空地暖商业配套齐全,普陀长寿路长寿路433弄1-6号,92㎡,54892元/㎡,2002年建造,2室2厅1卫,低层(共15层),505万,南北热门小区新上小区价格优惠,南北
684ac997c11929bdd1fd3785,南向采光好 装修好 医疗配套成熟 产权清晰 楼层好 出行方便,普陀中远两湾城中潭路99弄,101.99㎡,62556元/㎡,2006年建造,2室2厅2卫,中层(共34层),638万,南近地铁多人关注,南
684ac997c11929bdd1fd3786,精装电梯大三房，业主诚售，有钥匙，户型正，紧邻地铁347线,普陀光新石泉路135弄,116.82㎡,57011元/㎡,1997年建造,3室1厅1卫,低层(共24层),666万,经纪人力荐南唯一住房近地铁,南
684ac997c11929bdd1fd3787,94年房龄 一梯2户 花园位置景观房 近轨交 采光通透,"普陀甘泉宜川西乡路91弄1-77号,西乡路91弄1-11号,平利路90弄1-48号,西乡路105弄",57.63㎡,43207元/㎡,1994年建造,2室1厅1卫,高层(共6层),249万,南热门小区房东急售随时可看,南
684ac998c11929bdd1fd3788,带地下产权车位近地铁 产权清晰 精装好房 带电梯 南北通透,普陀武宁东新路355弄,121.2㎡,60974元/㎡,2002年建造,3室2厅1卫,中层(共29层),739万,南北有电梯近地铁,南北
684ac998c11929bdd1fd3789,只需0.88，上市公司你敢信，十大保障护航，让您买房无忧,普陀长征怒江北路458弄1-45号,118.67㎡,70785元/㎡,2000年建造,3室2厅2卫,中层(共6层),840万,南北满五年近地铁采光较好,南北
